Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,111.3,-79.175,180.0,top
D2,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,105.25,-79.175,180.0,top
D3,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,120.0,-118.05,90.0,top
D4,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,120.0,-112.0,90.0,top
D5,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,106.21,-152.5,0.0,top
D6,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,112.26,-152.5,0.0,top
D7,D_Photo,LED_D3.0mm,106.775,-87.0,0.0,top
D8,D_Photo,LED_D3.0mm,112.0,-115.0,90.0,top
D9,D_Photo,LED_D3.0mm,108.985,-145.0,0.0,top
J1,Conn_02x14_Odd_Even,PinSocket_2x14_P2.00mm_Vertical,99.5,-115.5,180.0,top
R1,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,101.115,-149.5,180.0,top
R2,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,117.615,-150.0,0.0,top
R3,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,97.905,-77.5,0.0,top
R4,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,121.905,-78.0,0.0,top
R5,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,117.905,-123.0,0.0,top
R6,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,118.405,-107.0,0.0,top
R7,82K,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,112.5,-86.5,0.0,top
R8,82K,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,107.5,-114.905,-90.0,top
R9,82K,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,117.615,-145.0,0.0,top
R13,2k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,122.505,-94.0,90.0,top
R14,2k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,117.095,-103.0,180.0,top
R15,2k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,102.615,-142.5,0.0,top
R16,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,119.0,-94.0,-90.0,top
R17,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,122.1,-103.0,180.0,top
R18,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,102.615,-138.0,0.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,110.5,-95.0,0.0,top
TP2,TestPoint,TestPoint_Pad_D1.0mm,97.5,-87.0,0.0,top
TP3,TestPoint,TestPoint_Pad_D1.0mm,104.5,-145.5,0.0,top
TP4,TestPoint,TestPoint_Pad_D1.0mm,103.5,-105.5,0.0,top
TP5,TestPoint,TestPoint_Pad_D1.0mm,122.0,-128.0,0.0,top
TP6,TestPoint,TestPoint_Pad_D1.0mm,106.0,-135.5,0.0,top
TP10,TestPoint,TestPoint_Pad_D1.0mm,95.5,-118.5,0.0,top
U1,LM358_DFN,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,120.5625,-98.5,-90.0,top
U2,LM358_DFN,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,109.11,-139.25,0.0,top
